Property Address,Property City,Property State,Property Type,Building SF,Star Rating,Sale Price,Price Per SF,Sale Date,Sale Status,Asking Price,Actual Cap Rate,Pro Forma Cap Rate,Property Name,Buyer (True) Company,Acquisition Fund Name,Buyer (True) Origin,Buyers Broker Company,Seller (True) Company,Disposition Fund Name,Seller (True) Origin,Listing Broker Company,Secondary Type,Building Class,Year Built,Number Of Units,Land Area AC,Land Area SF,Number Of Floors,Ceiling Height,Zoning,Submarket Name,Location Type,Property County,Country,Subcontinent,Continent,Property Zip Code,Corner,Map Code,Price Per AC Land,Price Per SF Land,Number Of Beds,Vacancy,University,Price Per Unit,Recording Date,Publication Date,Non-Arms Length Reasons,Sale Price Comment,Research Status,Affordable Type,Age,All-Inclusive,All-Suites,Amenities,Anchor Tenants,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Avg Unit SF,Brand,Building Condition,Building Materials,Building Operating Expenses,Building Park,Building Tax Expenses,Buyer (True) Address,Buyer (True) City,Buyer (True) Contact,Buyer (True) Phone,Buyer (True) Post-Direction,Buyer (True) Pre-Direction,Buyer (True) Secondary Type,Buyer (True) State,Buyer (True) Street Name,Buyer (True) Street Number,Buyer (True) Type,Buyer (True) Zip Code,Buyer Address,Buyer City,Buyer Company,Buyer Contact,Buyer Phone,Buyer State,Buyer Street Name,Buyer Street Number,Buyer Street Post-Direction,Buyer Street Pre-Direction,Buyer Zip Code,Buyers Broker Address,Buyers Broker Agent First Name,Buyers Broker Agent Last Name,Buyers Broker City,Buyers Broker Phone,Buyers Broker State,Buyers Broker Street Name,Buyers Broker Street Number,Buyers Broker Street Post-Direction,Buyers Broker Street Pre-Direction,Buyers Broker Zip Code,Column Spacing,Comp ID,Comps Number,Construction Begin,Construction Material,Coverage,Cross Street,Description Text,Document Number,Down Payment,Drive Ins,Fips Code,Fire Sprinkler,First Trust Deed Balance,First Trust Deed Lender,First Trust Deed Payment,First Trust Deed Terms,Flood Risk,Flood Zone,Floor Area Ratio,Frontage,GIM,GRM,Gross Income,Heating,Hold Period,Hotel Class,Hotel Location Type,Hotel Operator,Improvement Ratio,Land Improvements,Land SF Gross,Land SF Net,Latitude,Legal Description,Listing Broker Address,Listing Broker Agent First Name,Listing Broker Agent Last Name,Listing Broker City,Listing Broker Phone,Listing Broker State,Listing Broker Street Name,Listing Broker Street Number,Listing Broker Street Post-Direction,Listing Broker Street Pre-Direction,Listing Broker Zip Code,Loading Docks,Longitude,Lot Dimensions,Map Page,Map X,Map Y,Market,Market Time,Multi-Sale Name,Net Income,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of Cranes,Number Of Other Bedrooms Units,Number Of Parking Spaces,Number Of Rooms,Number Of Studios Units,Number Of Tenants,Office Space,One Bedroom Mix,Other Mix,Parcel Number 1 (Min),Parcel Number 2 (Max),Parent Company,Parking Ratio,Percent Leased,Percent Office,Portfolio City,Portfolio County,Portfolio Name,Portfolio State,Portfolio Zip,Power,Pre-Leasing,Price Per AC Land Net,Price Per Room,Price Per SF (Net),Price Per SF Land Net,Property Street Name,Property Street Number,Property Street Post-Direction,Property Street Pre-Direction,PropertyID,Proposed Use,Rail Served,Region,Roof Type,Sale Condition,Sale Type,Scale,Second Trust Deed Balance,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Seller (True) Address,Seller (True) City,Seller (True) Contact,Seller (True) Phone,Seller (True) Post-Direction,Seller (True) Pre-Direction,Seller (True) Secondary Type,Seller (True) State,Seller (True) Street Name,Seller (True) Street Number,Seller (True) Type,Seller (True) Zip Code,Seller Address,Seller City,Seller Company,Seller Contact,Seller Phone,Seller State,Seller Street Name,Seller Street Number,Seller Street Post-Direction,Seller Street Pre-Direction,Seller Zip Code,Sewer,Size,Sprinklers,Sprinklers,Stamp,Studio Mix,Submarket Cluster,Submarket Code,Tenancy,Three Bedroom Mix,Title Company,Total Expense Amount,Transaction Notes,Transfer Tax,Two Bedroom Mix,Typical Floor (SF),Units Per Acre,Water,Year Renovated
2819 3rd Ave,Los Angeles,CA,Multi-Family,"2,531",2 Star,"$1,467,500",579.81,4/24/2023,Sold,,4.40,,,Michael T Hoffman,,Local,Nicholas Property Group,Suzanne Gialketsis 2014 Trust,,National,RE/MAX Commercial & Investment Realty | Realty Investment Advisors,Apartments,C,1925,5,0.13,5663,1,,LARD3,West Adams,Urban,Los Angeles,United States,North America,Americas,90018,,,"11,288,062.86",259.14,,3.4,,"293,500",4/20/2023,4/24/2023,,Confirmed,Research Complete,,98,No,No,,,"153,000","612,000","765,000",2022,512,,,,,,,16321 Pacific Coast Hwy,Pacific Palisades,Michael Hoffman,3102304145,,,Individual,CA,Pacific Coast Hwy,16321,Private,90272-4658,,San Gabriel,First Operating Services LLC,,,CA,,,,,91778,349 N Palm Dr,Sonny,Shackelford,Beverly Hills,3107701847,CA,Palm Dr,349,,N,90210-4137,,6371715,,,,0.446952037861129,,,0255010,"1,467,500",,06037,,,,,,Yes,C and X,0.45,,,10.75,,,20+ Years,,,,20.00,,,,34.0290524,Arlington And Fourth Avenue Tract Lot/Sec 78,"99 S Lake Ave, 504",Enrique,Viramontes,Pasadena,2138171000,CA,Lake Ave,99,,S,91101-4701,,-118.3202843,,,,,Los Angeles,,,"64,570",1,4,0,,0,4,,0,,,1(1 + 1) ,,5052-003-006,5052-003-006,,0.00,,,Los Angeles,Los Angeles,,CA,90018,,,,,579.81,,3rd Ave,2819,,,11437411,,,,,,Investment,Independent,,,,,1753 Iowa St,Costa Mesa,Suzanne Gialketsis,,,,Trust,CA,Iowa St,1753,Private,92626,1753 Iowa St,Costa Mesa,Suzanne Gialketsis 2014 Trust,,,CA,Iowa St,1753,,,92626,,"2,531",,,,,Greater Inglewood,1EV       ,,,,,"On April 24, 2023, the apartment building on .13 acres located at 2819 3rd Ave, Los Angeles, CA 90018 sold for $1,467,500. The property had a capitalization rate of 4.40% at the time of sale which yields a net income of $64,570.  The seller was represented by Enrique Viramontes and Benjamin Hsiang of RE/MAX Commercial & Investment Realty. The property was built in 1925. The property includes 4 parking spaces. The zoning on the property is LARD3 (multi family). The sale was confirmed by the listing broker.",,3(2 + 1) 1(2 + 2) ,2531,,,
5715 Priory St,Bell Gardens,CA,Multi-Family,"2,916",3 Star,"$1,037,272",355.72,4/24/2023,Sold,"1,120,000",,,,Nelson Castillo Trust,,National,Lyon Stahl Investment Real Estate,Gaucin Luz Esther,,National,Compass,Apartments,C,1922,5,0.28,12023,1,,BGR3PD*,Montebello,Urban,Los Angeles,United States,North America,Americas,90201-4618,,,"3,758,094.35",86.27,,2.5,,"207,454",4/24/2023,5/2/2023,,Confirmed,Research Complete,,101,No,No,"Courtyard, Fenced Lot, Trash Pickup - Curbside, Porch",,"278,659","149,688","428,347",2022,,,Good,Wood Frame,2022 Tax @ $1712.88/Unit,,2022 Tax @ $1712.88/Unit,,,,,,,Individual,,,,Private,,,,Nelson Castillo Trust,Olga Wright,,,,,,,,239 Oregon St,Olga,Wright,El Segundo,3104259838,CA,Oregon St,239,,,90245-4215,,6378439,,,Wood Frame,0.242544017247575,,,0261627,"537,000",,06037,,"500,000",Credit Union of Southern California,,Lender Name: Credit Union Of Southern Ca,Yes,B and X,0.24,,,,,,20+ Years,,,,65.05,,,,33.9645903,,"6460 E Pacific Coast Hwy, 255",Casey,McKinley,Long Beach,,CA,Pacific Coast Hwy,6460,,E,90803-4266,,-118.1645422,,,,,Los Angeles,60,,,3,2,0,,0,10,,0,,,3(1 + 1) ,,6227-009-031,6227-009-031,,3.43,100.00%,,Bell Gardens,Los Angeles,,CA,,,,,,355.72,,Priory St,5715,,,13887088,,,,,Debt Assumption,Investment,Independent,,,,,,,,,,,Other - Private,,,,Private,,,,,Casey McKinley,,,,,,,,,"2,916",,,,,Southeast Los Angeles,8FW       ,,,,,"On April 24, 2023 this Class-C Multi-Family Three Star Building with 2,916 square feet located at 5715 Priory Street, Bell Gardens, California 90201-4618 sold for $1,037,272.  

This property is located in the Montebello Multi-Family Submarket.

The information reported is deemed to be reliable from source involved in the transaction.",,2(2 + 1) ,2916,,,
8330 S Figueroa St,Los Angeles,CA,Multi-Family,"4,556",2 Star,"$1,150,000",252.41,4/18/2023,Sold,,,,,CALIFORNIA BEST REAL ESTATE,,Local,"BRC Advisors -  BH, Inc. | Liberty Investment Group",Aldana Lidla,,National,Tamayo & Associates Commercial,Apartments,C,1936,8,0.14,6281,2,,"C2-1, Los Angeles",South Central LA,Urban,Los Angeles,United States,North America,Americas,90003-2727,,704-B2,"7,975,481.61",183.09,,3.4,,"143,750",4/18/2023,4/26/2023,,Confirmed,Research Complete,,87,No,No,,,"267,949","267,949","535,898",2022,,,Adequate,,,,,"451 W Bonita Ave, 20",San Dimas,Maged Sidhom,9095922273,,W,Investment Manager,CA,Bonita Ave,451,Institutional,91773,,,Saint Elijah Building Llc,,,,,,,,,"9100 Wilshire Blvd, 880W",Mike,Iryami,Beverly Hills,3105253700,CA,Wilshire Blvd,9100,,,90212-3415,,6374683,,,,0.362660777488668,,"Location Corner: NE


Property Description: Multi Family   -  8 Units



",0247627,,,06037,,"720,000",First Republic Bank,,,Yes,B and X,0.73,,,,,,20+ Years,,,,50.00,,,,33.9633975,,5350 E Beverly Blvd,Susana,Boggio,Los Angeles,3237257100,CA,Beverly Blvd,5350,,E,90022-2823,,-118.2823399,50.000x125.000,704,B,2,Los Angeles,,,,0,0,0,,0,7,,8,,,,,6032-033-005,6032-033-005,,,100.00%,,Los Angeles,Los Angeles,,CA,,,,,,252.41,,Figueroa St,8330,,S,4321617,,,,,,Investment,Independent,,,,,12001 Susan Dr,Granada Hills,Lidia Aldana,,,,Individual,CA,Susan Dr,12001 ,Private,91344,,,,,,,,,,,,,"4,556",,,,,Greater Inglewood,7EU       ,,,,,"On April 18, 2023, 4,556 square feet of multifamily space 8330 S Figueroa St, Los Angeles, California was sold for a confirmed price of $1,150,000 with a price per square foot of $252.
This property is a class c building with a two-star rating that sits on 0.14 acres of land. This property features 8 units across 2 floors and three buildings. The two-story building has 4 apartments that are 1 bed and one bath each. The two other buildings on the property are duplexes that are also one bedroom and one-bathroom units. The property is just minutes away from 105 and 110 freeways and was 100% occupied at the time of the sale.
The information was verified by sourced deemed reliable.",,,2278,,,
2013 W Victory Blvd,Burbank,CA,Multi-Family,"2,488",2 Star,"$1,400,000",562.70,4/17/2023,Sold,"1,400,000",3.17,,,Edwin Khoshabeh and Zarine Gabrielyan,,National,Sotheby's International Realty LLC,Estate of Carmen Chavez Probae Case #22STPB02160,,Local,Keller Williams Realty,Apartments,C,1940,4,0.21,9328,1,,BUR4*,Northwest District,Urban,Los Angeles,United States,North America,Americas,91506-1220,,,"6,537,735.85",150.09,,3.0,,"350,000",4/17/2023,4/17/2023,,Confirmed,Research Complete,,83,No,No,,,"43,942","58,155","102,097",2022,,,Good,Wood Frame,2022 Tax @ $3837.00/Unit; 2022 Ops @ $1759.00/Unit,,2022 Tax @ $3837.00/Unit; 2022 Ops @ $1759.00/Unit,907 Bethany Rd,Burbank,Zarine Gabrielyan,3234456080,,,Other - Private,CA,Bethany Rd,907 ,Private,91504,907 Bethany Rd,Burbank,Edwin Khoshabeh and Zarine Gabrielyan,,3234456080,CA,Bethany Rd,907 ,,,91504,"9665 Wilshire Blvd, 400",Armin,Vartanian,Beverly Hills,3107247000,CA,Wilshire Blvd,9665,,,90212-2340,,6365366,,,Wood Frame,0.266724356886623,,,0242813,"350,000",,06037,,"1,050,000",,,"Lender Name: Citywide Home Loans, LLC",Yes,B and X,0.27,,,18.41,,,20+ Years,,,,43.04,,,,34.184752,,"700 S Flower St, 2900",Michael,Fukushima,Los Angeles,2137977000,CA,Flower St,700,,S,90017-4101,,-118.333427,,,,,Los Angeles,167,,,4,0,0,,0,6,,0,,,4(1 + 1) ,,2462-009-038,2462-009-038,,1.61,,,Burbank,Los Angeles,,CA,,,,,,562.70,,Victory Blvd,2013,,W,12796660,,,,,Deferred Maintenance,Investment,Independent,,,,,10300 Oakdale Ave,Chatsworth,Elizabeth Hostettler,3104974664,,,Individual,CA,Oakdale Ave,10300    ,Private,91311,10300 Oakdale Ave,Chatsworth,Estate of Carmen Chavez Probae Case #22STPB02160,,3104974664,CA,Oakdale Ave,10300    ,,,91311,,"2,488",,,,,Burbank,9EL       ,,,,,"On April 17th, 2023, a 2,488 SF 4 unit class C Multi-Family building sold for $1,400,000 at 2013 W Victory Blvd in Burbank, CA. This was an investment sale with a current cap rate of 3.17% and is currently zoned BUR4. 

The seller was Elizabeth Hotsettler of the Estate of Carmen Chavez and she was represented by Michael Fukushima and Stephen Watson with Keller Williams Realty. 

The buyer was Zarine Gabrielyan, along with her husband Edwin Hoshabeh and they were represented by Armin Vartanian with Sotheby’s International Realty LLC. 

The details of this transaction were confirmed with the listing brokers and were sourced from public record. 
",,,2488,,,
626-628 Midvale Ave,Los Angeles,CA,Multi-Family,"6,082",2 Star,"$2,350,000",386.39,4/14/2023,Sold,,,,,KW Commercial Beverly Hills,,National,KW Commercial Beverly Hills,Barnett Revocable Trust,,National,,Apartments,C,1941,5,0.20,8502,2,,LAR4,Westwood,Urban,Los Angeles,United States,North America,Americas,90024,,,"12,040,225.83",276.41,,6.5,"University of California, Los Angeles","470,000",4/14/2023,4/20/2023,,Full Value,Research Complete,,82,No,No,,,"39,934","209,987","249,921",2022,,,Adequate,Wood Frame,,,,"439 N Canon Dr, 300",Beverly Hills,Ramin Gheitanchi,3104326400,,N,Corporation,CA,Canon Dr,439,User,90210,2222 Midvale Ave,Los Angeles,Romnu Properties Llc,,3104670481,CA,Midvale Ave,2222,,,90064-2013,"439 N Canon Dr, 300",Ramin,Gheitanchi,Beverly Hills,3104326400,CA,Canon Dr,439,,N,90210,,6370095,,,Wood Frame,0.314749581774729,,,0239705,,None,06037,,"1,762,000",MUFG Union Bank,,Lender Name: Mufg Union Bank Na,Yes,B and X,0.72,,,,,,20+ Years,,,,15.98,,,,34.0655647,,,,,,,,,,,,,None,-118.4514648,,,,,Los Angeles,,,,0,0,0,,0,5,,5,,,,,4363-015-006,4363-015-006,,0.82,100.00%,,Los Angeles,Los Angeles,,CA,90024,,,,,386.39,,Midvale Ave,626-628,,,9793311,,,,,,Investment,Independent,,,,,621 Saltair Ave,Los Angeles,Gary Barnett,3104763369,,,Individual,CA,Saltair Ave,621,Private,90049,621 Saltair Ave,Los Angeles,Barnett Revocable Trust,,3104763369,CA,Saltair Ave,621,,,90049,,"6,082",,,,,Beverly Hills/Century City/UCLA,3EL       ,,,,,"Barnett Revocable Trust sold this 6,082 square foot multi-family building to Romnu Properties for $2,350,000, or $470,000 per unit. 

The 5-unit property is located on 0.20 acres and has LA-R4 zoning. 

All information in the comparable has been verified by public record.",,,2676,,,
7506 Norton Ave,West Hollywood,CA,Multi-Family,"2,665",2 Star,"$1,575,000",590.99,4/14/2023,Sold,"1,550,000",4.38,,,Sambrano Contessa Trust,,National,Marcus & Millichap,Steven Mansueto,,Local,Marcus & Millichap,Apartments,C,1924,6,0.14,6120,1,,WDR2*,West Hollywood,Urban,Los Angeles,United States,North America,Americas,90046,,,"11,210,294.12",257.35,,3.7,,"262,500",4/14/2023,4/24/2023,,Confirmed,Research Complete,,99,No,No,,,"207,150","88,272","295,422",2022,444,,Adequate,,2022 Tax @ $3400.33/Unit; 2022 Ops @ $3262.33/Unit,,2022 Tax @ $3400.33/Unit; 2022 Ops @ $3262.33/Unit,,,Anthony Sambrano,3232591700,,,Trust,,,,Private,,,,Sambrano Contessa Trust,,3232591700,,,,,,,"16830 Ventura Blvd, 100",Rick,Raymundo,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,6371043,,,,0.435457089421154,,,0240567,,,06037,,,,,,Yes,B and X,0.44,,,14.33,,,12 Months,,,,70.12,,,,34.0914069,,"16830 Ventura Blvd, 100",Rick,Raymundo,Encino,8182122700,CA,Ventura Blvd,16830,,,91436-1707,,-118.3531573,,,,,Los Angeles,23,,"68,985",6,0,0,,0,5,,0,,,6(1 + 1) ,,5530-010-011,5530-010-011,,1.88,100.00%,,West Hollywood,Los Angeles,,CA,90046,,,,,590.99,,Norton Ave,7506,,,12605981,,,,,,Investment,Independent,,,,,4812 Saloma Ave,Sherman Oaks,Steven Mansueto,3102792117,,,Individual,CA,Saloma Ave,4812,Private,91403-2022,4812 Saloma Ave,Sherman Oaks,Steven Mansueto,Philip Rodgers,3102792117,CA,Saloma Ave,4812,,,91403-2022,,"2,665",,,,,West Hollywood,6ET       ,,,,,"On 4/14/2023, this 2,665 square-foot Multi-Family building in Los Angeles County, California was transferred from Steven Mansueto to Sambrano Contessa Trust in an investment sale.
 
At the time of sale, the property's assessed value was $295,422 and the buyer purchased it for $1,575,000. According to a press release from Marcus & Millichap, the property traded at $25,000 above asking and was an all-cash deal.

 Information in this report was verified by the buyer broker, public record, and CoStar information.	",,,2665,,,
6401 11th Ave,Los Angeles,CA,Multi-Family,"2,835",2 Star,"$780,000",275.13,4/14/2023,Sold,"845,000",5.52,,,Charles Chung & Irene Yermilov Trust,,Local,,Thomas F Tramontin Trust,,Local,Marcus & Millichap,Apartments,C,1939,4,0.17,7405,1,,LAR3,Park Mesa Heights,Urban,Los Angeles,United States,North America,Americas,90043-4052,,,"4,588,359.22",105.33,,3.4,,"195,000",4/13/2023,4/14/2023,,Confirmed,Research Complete,,84,No,No,,,"84,504","247,487","331,991",2022,708,,Adequate,,,,,7917 Flight Pl,Los Angeles,Charles Chung,3102912059,,,Trust,CA,Flight Pl,7917,Private,90045-3131,7917 Flight Pl,Los Angeles,Charles Chung & Irene Yermilov Trust,,3102912059,CA,Flight Pl,7917,,,90045-3131,,,,,,,,,,,,,6364229,,,,0.382839086047642,,"The bed-bath mix, unit counts and sizes are estimated based on information obtained through public record. The actual models and unit mix are still to be determined.",0237164,"195,000",,06037,,"585,000",Bank of the West,,,Yes,C and X,0.38,,,12.77,"61,080",,20+ Years,,,,25.45,,,,33.9816876,Lot 26 N 40 Ft Lot 261 Bk 14 Pg 21,"880 Apollo St, 101",Jonathan,Weir,El Segundo,4244053900,CA,Apollo St,880,,,90245,,-118.3296544,,,,,Los Angeles,183,,"43,056",4,0,0,,0,4,,0,,,4(1 + 1) ,,4006-010-019,4006-010-019,,1.41,100.00%,,Los Angeles,Los Angeles,,CA,,,,,,275.13,,11th Ave,6401,,,11199778,,,,,,Investment,Independent,,,,,1251 W Redondo Beach Blvd,Gardena,Thomas Tramontin,3104204032,,W,Trust,CA,Redondo Beach Blvd,1251,Private,90247-3456,1251 W Redondo Beach Blvd,Gardena,Thomas F Tramontin Trust,,3104204032,CA,Redondo Beach Blvd,1251,,W,90247-3456,,"2,835",,,Full,,Greater Inglewood,6EU       ,,,Ticor Title Company,"18,024.00","This 4 unit apartment building that sold was 100% occupied at time of sale.  This property is comprised of four (one-bed-one-bath) units.  The property is located in the Park Mesa Heights multi-family submarket.  Both buyer and seller confirmed deal details, and the buyer was self represented in the deal.",858.00,,2835,,,
220 W 66th St,Los Angeles,CA,Multi-Family,"5,130",2 Star,"$770,000",150.10,4/14/2023,Sold,,,,,Alberto Pimentel Narez,,National,,Edward Cosio,,Local,,Apartments,C,1915,12,0.12,5143,1,,LAR2,Canndu/Avalon Gardens,Urban,Los Angeles,United States,North America,Americas,90003-1813,,,"6,521,718.84",149.72,,3.4,,"64,167",4/14/2023,4/24/2023,,Confirmed,Research Complete,,108,No,No,,,"173,443","367,911","541,354",2022,,,Adequate,,,,,1120 McDonald Ave,Wilmington,Alberto Narez,3102454182,,,Individual,CA,McDonald Ave,1120 ,Private,90744,1120 McDonald Ave,Wilmington,Alberto Pimentel Narez,,3102454182,CA,McDonald Ave,1120 ,,,90744,,,,,,,,,,,,,6371030,,,,0.997472486383917,,,0240010,,,06037,,"616,000",,,Lender Name: Mission Loans Llc,Yes,B and X,1.00,,,,,,20+ Years,,,,32.04,,,,33.9795398,,,,,,,,,,,,,,-118.2769187,,,,,Los Angeles,,,,12,0,0,,0,3,,0,,,12(1 + 1) ,,6012-002-006,6012-002-006,,0.58,,,Los Angeles,Los Angeles,,CA,,,,,,150.10,,66th St,220,,W,14291263,,,,,,Investment,Independent,,,,,11822 Avalon Blvd,Los Angeles,Edward Cosio,3236655479,,,Individual,CA,Avalon Blvd,11822,Private,90061-2835,,,,Edward Cosio,,,,,,,,,"5,130",,,,,Greater Inglewood,8ET       ,,,,,"On April 14, 2023 a Class-C Two Star Multi-Family Building with 5,130 square feet located at 220 W 66th St, Los Angeles, California 90003-1813 sold for $770,000.

This multi-family building is in the Canndu/Avalon Gardens multi-family submarket.

The information reported is deemed to be from a reliable source involved in the transaction.",,,5130,,,
2727 E 4th St,Los Angeles,CA,Multi-Family,"4,186",2 Star,"$1,565,000",373.87,4/13/2023,Sold,,5.48,,,The Frank Ochoa Trust,,National,RE/MAX 2000 Commercial,MR Investments,,Local,RE/MAX Commercial & Investment Realty,Apartments,C,1923,9,0.16,7004,1,,LAC1,Boyle Heights,Urban,Los Angeles,United States,North America,Americas,90033,,,"9,733,209.60",223.44,,11.0,,"173,889",4/13/2023,4/13/2023,,Confirmed,Research Complete,,100,No,No,,,"589,710","718,374","1,308,084",2022,,,Adequate,,,,,,El Monte,Frank Ochoa,3235331714,,,Trust,CA,,,Private,91734,,El Monte,The Frank Ochoa Trust,,3235331714,CA,,,,,91734,1221 S Hacienda Blvd,Carlos,Skubacz,Hacienda Heights,6269560188,CA,Hacienda Blvd,1221,,S,91745,,6362681,,,,0.597657456897561,,,0237001,"640,000",,06037,,"925,000",First Republic Bank,,,Yes,B and X,0.60,,,12.98,,,67 Months,,,,45.08,,,,34.0387592,,"99 S Lake Ave, 504",Shant,Sherbetdjian,Pasadena,2138171000,CA,Lake Ave,99,,S,91101-4701,,-118.2068837,,,,,Los Angeles,,,"85,782",4,1,0,,0,,,4,,,4(1 + 1) ,,5180-013-022,5180-013-022,,,,,Los Angeles,Los Angeles,,CA,90033,,,,,373.87,,4th St,2727,,E,10290190,,,,,,Investment,Independent,,,,,"6350 Laurel Canyon Blvd, 257",North Hollywood,Zvi Lipman,8188216800,,,Developer/Owner-RGNL,CA,Laurel Canyon Blvd,6350,Private,91606-3200,,,,,,,,,,,,,"4,186",,,Full,4(0 + 1) ,Southeast Los Angeles,2FV       ,,,Chicago Title,,"On April 13, 2023, the apartment building on .16 acres located at 2727 4th St, Los Angeles, CA 90033 sold for $1,565,000. The property had a capitalization rate of 5.48% at the time of sale which yields a net income of $85,762.  The seller was represented by Shant Sherbetdjian of RE/MAX Commercial & Investment Realty. The buyer was represented by Carlos Skubacz of RE/MAX 2000 Commercial. The buyer took out a loan of $925,000 to finance the acquisition.  The property was built in 1923. The zoning on the property is LAC1 (residential). The sale was confirmed by the listing broker and buyer.","1,721.50",1(2 + 1) ,4186,,,
5126 Windermere Ave,Los Angeles,CA,Multi-Family,"1,375",2 Star,"$1,245,000",905.45,4/13/2023,Sold,,,,,Paz Kahana | Tal Kahana,,Local,Compass,Elma Wilson-Duke,,National,Keyes Real Estate,Apartments,C,1923,2,0.15,6534,1,,R1,Eagle Rock,Urban,Los Angeles,United States,North America,Americas,90041-1139,,,"8,300,000.00",190.54,,3.6,,"622,500",4/13/2023,4/24/2023,,Confirmed,Research Complete,,100,No,No,,,"124,916","161,755","286,671",,689,,,Wood Frame,,,,1929 N Curson Ave,Los Angeles,Paz Kahana,,,N,Individual,CA,Curson Ave,1929,Private,90046,1929 N Curson Ave,Los Angeles,tal kahana 2007 revocable inter vivos trust,,,CA,Curson Ave,1929,,N,90046,"6430 W Sunset Blvd, 600",Lorraine,Getz,Los Angeles,3235936999,CA,Sunset Blvd,6430,,W,90028-7901,,6371509,,,Wood Frame,0.21043771043771,,,0235461,,,06037,,"654,500",,,Lamb Development Llc,Yes,B and X,0.21,,,,,,20+ Years,,,,43.57,,,,34.1406011,WINDERMERE HEIGHTS TRACT POR OF LOTS 44 AND 45,"15113 W Sunset Blvd, 3",Brad,Keyes,Pacific Palisades,3104869417,CA,Sunset Blvd,15113,,W,90272,,-118.2169868,,,,,Los Angeles,,,,2,0,0,,0,2,,0,,,2(1 + 1) ,,5671-017-029,5671-017-029,,1.45,100.00%,,Los Angeles,Los Angeles,,CA,,,,,,905.45,,Windermere Ave,5126,,,13925409,,,,,Debt Assumption,Investment,Independent,,,,,5239 Eagle Rock Blvd,Los Angeles,Elma Wilson-Duke,8475063430,,,Individual,CA,Eagle Rock Blvd,5239,Private,90041,5239 Eagle Rock Blvd,Los Angeles,Elma Wilson-Duke,,8475063430,CA,Eagle Rock Blvd,5239,,,90041,,"1,375",,,Full,,Northeast Los Angeles,3FD       ,,,,,"The 1,375 2 unit multi-family duplex was sold for 1,245,000, or $622,500 per unit, on April 13, 2023. The Class C property is zoned LAR1 and was vacant at the time of the sale. The new owners plan to lease the property out. 

The initial asking price was 1,149,995 and was only on the market for 12 days. 

The sale price, size, occupancy at time of the sale, and future plans for the property were confirmed by the brokers involved in the transaction. Other sale details were confirmed through public record.","1,369.50",,1375,,,1990
823 Cleveland St,Los Angeles,CA,Multi-Family,"6,360",2 Star,"$2,530,000",397.80,4/12/2023,Sold,,,,,LTSC Community Development Corp.,,Local,,Six Peak Capital,,Local,,Apartments,C,1913,6,0.22,9583,1,,LAR4,Chinatown,CBD,Los Angeles,United States,North America,Americas,90012,,,"11,500,240.01",264.01,,100.0,,"421,667",4/12/2023,4/20/2023,,Confirmed,Research Complete,,110,No,No,,,"898,756","1,098,480","1,997,236",2022,,,Adequate,Masonry,,,,"231 E 3rd St, G106",Los Angeles,Erich Nakano,2134733030,,E,Non Profit,CA,3rd                       St,231,User,90013-1494,"231 E 3rd St, G106",Los Angeles,Cleveland Apartments LLC,Debbie Chen,,CA,3rd St,231,,E,90013-1494,,,,,,,,,,,,,6368071,,,Masonry,0.33183070373153,,,0233647,,,06037,,,,,,Yes,B and X,0.66,,,,,,53 Months,,,,45.00,,,,34.0643633,,,,,,,,,,,,,,-118.2413506,,,,,Los Angeles,,,,0,0,0,,0,4,,6,,,,,5407-009-019,5407-009-019,,0.62,100.00%,,Los Angeles,Los Angeles,,CA,90012,,,,,397.80,,Cleveland St,823,,,7088391,,,,,"Deferred Maintenance,Redevelopment Project",Investment,Independent,,,,,"20 W 22nd St, 1001",New York,Chris Aiello,,,W,Other/Unknown-Instl,NY,22nd St,20,Institutional,10010,"15740 Paramount Blvd, E",Paramount,823 Cleveland LLC,,3107733697,CA,Paramount Blvd,15740,,,90723-4361,,"6,360",,,,,Downtown Los Angeles,2EM       ,,,,,"The 6 unit 6,360 Multi-Family property sold for $2,530,000 on April 12, 2023. The property sits on a lot the size of 9,400 SF. The property is zoned LAR4  and was vacant at the time of the sale. 

The existing structure will be demolished and the land has fully approved plans and permits to build a 9-unit, 53 bed coliving multi-family property that the buyer tends to operate as affordable housing.

The existing structure that sold is part of a redevelopment project and will be demolished due to deferred maintenance.

The sale price, size, and future development plans were confirmed with the seller and a buyer contact.

",,,3180,,,
